date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:39	74/74	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2010:01:38%20GMT	https://www.travocrm.com/robots.txt		(from )
15:31:39	66800/66800	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202023%2010:01:39%20GMT	https://www.travocrm.com/	C:/My%20Web%20Sitesh/hii/www.travocrm.com/index.html	(from )
15:31:39	15624/15624	---M-Z	200	added ('OK')	application/javascript	etag:%22dee95ca2f652ec00d954cc14a5b43fda%22	https://cdn.gumlet.com/gumlet.js/2.1/gumlet.min.js	C:/My%20Web%20Sitesh/hii/cdn.gumlet.com/gumlet.js/2.1/gumlet.min.js	(from https://www.travocrm.com/)
15:31:39	18696/18696	---M--	200	added ('OK')	image/png	etag:%224908-582b4c39b1cc0%22	https://www.travocrm.com/assets/img/fav/fav.png	C:/My%20Web%20Sitesh/hii/www.travocrm.com/assets/img/fav/fav.png	(from https://www.travocrm.com/)
15:31:40	459/459	---M--	200	added ('OK')	image/svg+xml	etag:%221cb-5bc06c8307d80%22	https://www.travocrm.com/assets/img/fav/safari-pinned-tab.svg	C:/My%20Web%20Sitesh/hii/www.travocrm.com/assets/img/fav/safari-pinned-tab.svg	(from https://www.travocrm.com/)
15:31:40	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%2226f1b-5bc06c8307d80-gzip%22	https://www.travocrm.com/dependencies/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sitesh/hii/www.travocrm.com/dependencies/bootstrap/css/bootstrap.min.css	(from https://www.travocrm.com/)
15:31:40	58578/58578	---M-Z	200	added ('OK')	text/css	etag:%22e4d2-5bc06c811f900-gzip%22	https://www.travocrm.com/dependencies/fontawesome/css/all.min.css	C:/My%20Web%20Sitesh/hii/www.travocrm.com/dependencies/fontawesome/css/all.min.css	(from https://www.travocrm.com/)
15:31:40	19798/19798	---M-Z	200	added ('OK')	text/css	etag:%224d56-5bc06c8307d80-gzip%22	https://www.travocrm.com/dependencies/swiper/css/swiper.min.css	C:/My%20Web%20Sitesh/hii/www.travocrm.com/dependencies/swiper/css/swiper.min.css	(from https://www.travocrm.com/)
15:31:41	57095/57095	---M-Z	200	added ('OK')	text/css	etag:%22df07-5bc06c8307d80-gzip%22	https://www.travocrm.com/dependencies/wow/css/animate.css	C:/My%20Web%20Sitesh/hii/www.travocrm.com/dependencies/wow/css/animate.css	(from https://www.travocrm.com/)
15:31:41	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5bc06c8307d80-gzip%22	https://www.travocrm.com/dependencies/magnific-popup/css/magnific-popup.css	C:/My%20Web%20Sitesh/hii/www.travocrm.com/dependencies/magnific-popup/css/magnific-popup.css	(from https://www.travocrm.com/)
15:31:41	26105/26105	---M-Z	200	added ('OK')	text/css	etag:%2265f9-5bc06c8307d80-gzip%22	https://www.travocrm.com/dependencies/components-elegant-icons/css/elegant-icons.min.css	C:/My%20Web%20Sitesh/hii/www.travocrm.com/dependencies/components-elegant-icons/css/elegant-icons.min.css	(from https://www.travocrm.com/)
15:31:41	12958/12958	---M-Z	200	added ('OK')	text/css	etag:%22329e-5bc06c8307d80-gzip%22	https://www.travocrm.com/dependencies/simple-line-icons/css/simple-line-icons.css	C:/My%20Web%20Sitesh/hii/www.travocrm.com/dependencies/simple-line-icons/css/simple-line-icons.css	(from https://www.travocrm.com/)
15:31:42	369188/369188	---M-Z	200	added ('OK')	text/css	etag:%225a224-5d4bee71f0d80-gzip%22	https://www.travocrm.com/assets/css/app.css	C:/My%20Web%20Sitesh/hii/www.travocrm.com/assets/css/app.css	(from https://www.travocrm.com/)
15:31:42	15196/15196	---M-Z	200	added ('OK')	text/css	etag:%223b5c-5490b86c3cc80-gzip%22	https://www.travocrm.com/css/select2.min.css	C:/My%20Web%20Sitesh/hii/www.travocrm.com/css/select2.min.css	(from https://www.travocrm.com/)
